time:1742725600.597458; distance: 0.6274206590327759
time:1742725600.61904; distance: 0.6274206590327759
time:1742725604.0575306; distance: 0.6274206590327759
time:1742725604.0779166; distance: 0.6274206590327759
time:1742725609.0974443; distance: 0.6274206590327759
time:1742725609.11913; distance: 0.6274206590327759
time:1742725609.977355; distance: 0.6274206590327759
time:1742725609.9974604; distance: 0.6274206590327759
time:1742725610.0174303; distance: 0.6274206590327759
time:1742725610.4573421; distance: 0.6274206590327759
time:1742725610.477352; distance: 0.6274206590327759
time:1742725610.957339; distance: 0.6274206590327759
time:1742725610.9788504; distance: 0.6274206590327759
time:1742725610.9974933; distance: 0.6274206590327759
time:1742725611.0173852; distance: 0.6274206590327759
time:1742725614.7374175; distance: 0.6274206590327759
time:1742725614.7574763; distance: 0.6274206590327759
time:1742725617.2773747; distance: 0.6274206590327759
time:1742725621.0973577; distance: 0.6274206590327759
time:1742725621.1173918; distance: 0.6274206590327759
time:1742725621.1381686; distance: 0.6274206590327759
time:1742725621.1574082; distance: 0.6274206590327759
time:1742725622.0978937; distance: 0.6274206590327759
time:1742725622.117944; distance: 0.6274206590327759
time:1742725622.1374264; distance: 0.6274206590327759
time:1742725623.4573596; distance: 0.6274206590327759
time:1742725623.4773877; distance: 0.6274206590327759
time:1742725624.4573495; distance: 0.6274206590327759
time:1742725624.4773831; distance: 0.6274206590327759
time:1742725624.497446; distance: 0.6274206590327759
time:1742725624.5200207; distance: 0.6274206590327759
time:1742725629.5973666; distance: 0.6274206590327759
time:1742725629.617528; distance: 0.6274206590327759
time:1742725629.6374652; distance: 0.6274206590327759
time:1742725629.6585782; distance: 0.6274206590327759
time:1742725636.5974789; distance: 0.6274206590327759
time:1742725636.617499; distance: 0.6274206590327759
time:1742725642.9574673; distance: 0.6274206590327759
time:1742725642.9773824; distance: 0.6274206590327759
time:1742725645.097447; distance: 0.6274206590327759
time:1742725645.118059; distance: 0.6274206590327759
time:1742725645.1374023; distance: 0.6274206590327759
time:1742725645.737697; distance: 0.6274206590327759
time:1742725654.9988444; distance: 0.6274206590327759
time:1742725655.018234; distance: 0.6274206590327759
time:1742725655.0415637; distance: 0.6274206590327759
time:1742725656.0999625; distance: 0.6274206590327759
time:1742725656.1174426; distance: 0.6274206590327759
time:1742725658.7432356; distance: 0.6311163687720769
time:1742725661.5974329; distance: 0.6311163687720769
time:1742725661.6178315; distance: 0.6311163687720769
time:1742725661.637939; distance: 0.6311163687720769
time:1742725661.6595883; distance: 0.6311163687720769
time:1742725663.5974364; distance: 0.6274206590327759
time:1742725663.8784912; distance: 0.6274206590327759
time:1742725663.8974125; distance: 0.6274206590327759
time:1742725663.9177432; distance: 0.6274206590327759
time:1742725666.4573224; distance: 0.6311163687720769
time:1742725666.4774215; distance: 0.6311163687720769
time:1742725671.5973892; distance: 0.6274206590327759
time:1742725671.6173806; distance: 0.6274206590327759
time:1742725672.977371; distance: 0.6274206590327759
time:1742725672.997529; distance: 0.6274206590327759
time:1742725673.017667; distance: 0.6274206590327759
time:1742725674.7374527; distance: 0.6274206590327759
time:1742725675.5974097; distance: 0.6311163687720769
time:1742725675.6189535; distance: 0.6311163687720769
time:1742725680.2375095; distance: 0.6274206590327759
time:1742725690.237394; distance: 0.6274206590327759
time:1742725690.2581596; distance: 0.6274206590327759
